personId,name,age,cityId
1,Albeiro Germán Castellanos,42,9495
2,Álvaro Toro Arenas,38,1921
3,Valentina Castro Acosta,38,5131
4,Juan Jhon Giraldo,45,3299
5,Juan William Velasco,69,5456
6,Vanesa Lina Méndez,66,4175
7,Guillermo José Álvarez Ochoa,21,1832
8,Sneider Arenas Mesa,25,6838
9,Gladys Delgado Saavedra,28,6784
10,Fernando Moreno Castro,26,8009
11,Pedro Jorge Uribe Mosquera,60,4081
12,Diana Moreno Palacio,60,882
13,Patricia Lucía Forero Jaramillo,72,5680
14,Rocío Sánchez Gaviria,77,560
15,Fernando Albeiro González Hernández,75,4120
16,Juliana María Franco,47,7884
17,Álvaro Sánchez,78,8386
18,Jhon Arias Ramos,72,1507
19,Ángela Martha López Rojas,52,4446
20,Ricardo Polo Giraldo,65,8529
21,María Ofelia González Guerrero,67,7417
22,Martha Loaiza Tamayo,37,532
23,Mónica Moreno Buitrago,32,2082
24,Alexander Fernando Ortega Escobar,22,9411
25,Alexis Kevin Campo Serrano,50,4458
26,Alfonso Campo,34,1730
27,Cristian Mauricio Romero,80,7783
28,Patricia Martha Uribe,63,8354
29,Samuel Jhon Cardona,21,2237
30,María Isabel Hernández,75,6277
31,Alberto Perdomo Castillo,23,2199
32,Irma Astrid Castrillón Martínez,58,416
33,María Karen Cardona,32,4271
34,José Rincón,20,1631
35,Lorena Mariela Burbano Sarmiento,67,5773
36,Gina Escobar,63,8558
37,Alexandra María Ramos,37,8428
38,Olga Romero Anaya,70,6257
39,Jaime Marlon Rodríguez Ríos,42,2700
40,Jhon Flórez Acevedo,63,9964
41,Gladys Velandia,18,1348
42,Guillermo González,52,2173
43,Alfonso Cabrera,55,6319
44,Mayerly Andrea Hernández,23,9279
45,Ferney Becerra,33,8481
46,Luis Londoño,80,8733
47,Bibiana Gloria Guerrero,78,8548
48,Lucy Juliana Durán Ávila,44,6832
49,Teresa Gutiérrez,40,9254
50,Juan Carlos Mosquera,75,4987
51,Flor Zulma Cano,78,7792
52,Darwin Restrepo,24,103
53,Flor Angie Ruiz,63,3729
54,Eduar Rivas,48,5400
55,Jhon Álvarez,31,6831
56,Sara Dora Agudelo,51,6082
57,Felipe Andrés Vargas Figueroa,61,9946
58,Mauricio Julián Valderrama Barrios,78,4166
59,Ruth Romero,38,5804
60,Nelson Vásquez,73,7899
61,Sofía Mejía,44,8178
62,Diana Ramírez Rincón,30,5610
63,Ricardo Jader Bustos Becerra,26,2753
64,Luis Cifuentes,32,7388
65,Alberto Medina,67,8391
66,Ignacio David Carmona,24,3409
67,Andrea Tatiana Villamil,46,8569
68,Lucía Díaz,28,7610
69,Teresa González Jiménez,80,2374
70,Andrea Rincón Maldonado,45,1193
71,Daniela Milena Naranjo Sánchez,36,1738
72,Nancy Ríos,19,1476
73,Andrea Sofía Hernández,49,2524
74,Jorge Bernal,38,2016
75,Patricia Tatiana Sandoval,63,9158
76,Orlando Alberto Bohórquez Pérez,80,4610
77,Vanessa Patricia Tamayo Sánchez,56,9192
78,Carmen Angie Rojas Lozano,72,5471
79,Luz Mónica Torres,39,977
80,Eduar Francisco Duque,73,2619
81,Fredy Juan Polo,74,1407
82,Adrián Reyes Medina,19,3299
83,Carolina Esther González,60,9803
84,Ruth Sofía Suárez,21,7009
85,Sandra María Bernal,58,2302
86,Nathalia María Mendoza,46,3716
87,Isabel Rodríguez Figueroa,33,2449
88,Alexis Mora Vargas,20,9631
89,Antonio Luis Rubio Ramírez,78,7640
90,Yamid César González Sierra,75,7218
91,Rubén Rincón,59,2016
92,Luis Martínez Andrade,48,1326
93,Gloria Isabel Martínez González,32,3967
94,Marcela Elvia Acosta,68,6519
95,Gladys Ana Díaz,65,6630
96,Omar Perdomo,23,4151
97,Manuel Torres,43,973
98,Jesús Luis Díaz,20,458
99,Alfonso Álvarez,39,6331
100,Alcira Cabrera,32,507
101,Carmen Hernández Hernández,66,3575
102,Patricia Hurtado Pérez,37,2673
103,José Ever Peña Mora,74,4981
104,Milena Nancy Arias Ramírez,47,5124
105,José Arbey Solano,70,5670
106,Carlos Flórez Torres,48,2957
107,Neider Jorge Gutiérrez Ortega,29,2955
108,Fernando Miguel Rodríguez Montoya,71,3523
109,Felipe Ocampo López,31,5899
110,Flor Castro,52,5205
111,Ramón Riascos,50,6475
112,Luz Yaneth Padilla,23,1567
113,Patricia Vásquez,56,1264
114,Eduar Ramírez,20,1083
115,Víctor Padilla,43,649
116,Héctor Castaño,59,1612
117,Kelly Arboleda Vera,27,1560
118,Gabriel Jorge Correa,18,6791
119,Jimena María Rueda,48,7430
120,Luis José Ríos,67,5654
121,Marina Buitrago,58,9220
122,Erika Hernández,54,3599
123,José Rojas Gil,74,3473
124,Erika Parra Álvarez,77,2173
125,Ricardo José Meneses,57,1784
126,Patricia Luz Martínez,55,1294
127,Leonardo Argemiro Martínez,23,9878
128,José Pérez Guevara,64,6005
129,Armando Ángel Muñoz Cifuentes,67,6666
130,Margarita Marcela Hernández Ibarra,77,1369
131,Janeth Zambrano,53,8293
132,Martha Johanna Gómez,32,7231
133,Ana Parra,38,2880
134,Carlos Felipe Moreno,61,8836
135,Víctor Martínez García,47,8653
136,Héctor Cifuentes,25,6338
137,Paola Montenegro,40,9648
138,Juan Bolaños Rodríguez,25,3506
139,Eva Patricia Saavedra Reyes,34,339
140,Gonzalo Pacheco,30,6866
141,Yeison Anderson Hernández Ramos,34,6429
142,Roberto Sierra,45,3663
143,Diego Edwin Ruiz Reyes,65,5983
144,Alfonso Narváez Márquez,63,7447
145,Cecilia Elizabeth Nieto,78,2978
146,Irene Diana Prada,38,1796
147,Alejandra Trujillo Duque,27,198
148,Juan Germán Bernal Díaz,75,9565
149,Blanca Camila Marín Gómez,47,1236
150,Carmen Caballero Becerra,62,4740
151,Felipe Julio Salazar Vergara,70,8151
152,Luis Carlos Mosquera,57,2946
153,Manuel Julio Espinosa Puentes,25,8857
154,Johanna Isabel Ariza Herrera,34,4348
155,Orlando Martínez Castañeda,36,9630
156,Leidy Marina Acevedo,49,7930
157,Enrique Garzón,57,7376
158,José Jesús Ariza Jiménez,74,5037
159,Alberto Carlos Guzmán,72,3198
160,Jessica Paola Ortiz,40,4518
161,María Adriana Quintero,43,182
162,Segundo Sánchez,46,4841
163,Teresa López,35,8709
164,José García,30,6312
165,Gustavo Pablo Guzmán Medina,21,9823
166,Daniel Jader Gutiérrez,71,822
167,Jeferson Palacios Alfonso,29,3385
168,Daniel Ospina Hurtado,73,3212
169,Yadira Alba Molina Pardo,48,6240
170,Karen Puentes,38,3764
171,Margarita Olga Arenas,49,4470
172,Olga Mónica Arroyo,72,2453
173,Martha Patricia Escobar,68,8415
174,Miguel Danny Rodríguez Quiroga,64,5085
175,Arley Ríos,52,1943
176,Carolina Castellanos,57,4593
177,Laura Palacio,33,1135
178,Arley Roger Ocampo,56,918
179,María Torres,77,3271
180,Juan Guerrero Cardona,80,92
181,Leandro Pacheco,21,8755
182,Elkin Andrés Moreno Galvis,38,6561
183,Enrique Dario Herrera,50,9712
184,María Ramírez,79,3088
185,Sebastián Andrés Betancur Niño,45,502
186,Yeison Luis Castaño,31,2394
187,Blanca Granados Bohórquez,44,7275
188,Rubiela Leidy Velásquez,62,209
189,Juana Alba Duque Acosta,21,8099
190,Johana Esther Mercado,23,1776
191,Alba Perdomo Ortega,62,2980
192,Consuelo Mariana Sánchez Fuentes,57,215
193,Martín Johan Mendoza Ballesteros,48,1652
194,William Álvarez Peña,38,1118
195,Fernando Carmona Suárez,19,9079
196,Margarita Salazar Rojas,30,4399
197,Manuel Vanegas Fernández,30,5800
198,Óscar Bermúdez,35,4007
199,Alberto Quintero,36,649
200,Gloria Milena Jiménez,27,4790
201,Javier Mejía,70,5046
202,Ruth Patricia Salamanca Ríos,69,7401
203,Dora Rosalba Salazar,23,5127
204,Ramón Andrey Zapata,66,3723
205,Jaime Kevin Rodríguez López,30,441
206,Franklin Javier Sánchez Pinzón,39,9347
207,María Ayala Villegas,19,3582
208,Adriana Gutiérrez Ortiz,80,9308
209,Brayan Rodrigo Marín Restrepo,58,5979
210,María Torres,46,5600
211,María Libia Garzón Guerrero,49,7676
212,Alexander Carvajal,23,1070
213,Kevin Guillermo Bernal Guerrero,75,3648
214,Walter Francisco Restrepo García,47,5473
215,David William Ortiz Pérez,44,6304
216,Juan Salas,76,8209
217,Yadira Esperanza Sierra,24,7682
218,Manuel Alexander González,21,420
219,Lilia Díaz,35,6899
220,Iván Elver Ariza Ávila,50,330
221,Elena Adriana Ruiz Caballero,58,4313
222,Luis Jhonatan Ramírez,64,4296
